questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,category,difficulty,level,tags
"Quelle est la définition de la pression artérielle systolique ?","Pression maximale pendant la systole ventriculaire","Pression minimale pendant la diastole","Pression moyenne dans les artères","Pression dans les veines pulmonaires","A","La PAS correspond à la pression maximale atteinte dans les artères pendant la contraction ventriculaire gauche. Elle dépend principalement du volume d'éjection systolique et de la compliance artérielle.","Cardiologie","medium","PASS","pression-artérielle,hémodynamique,physiologie-cardiaque"
"Quel nerf crânien innerve les muscles de la langue ?","Le nerf hypoglosse (XII)","Le nerf trijumeau (V)","Le nerf facial (VII)","Le nerf vague (X)","A","Le nerf hypoglosse (XII) assure l'innervation motrice de tous les muscles de la langue à l'exception du palatoglosse. Il sort du crâne par le canal hypoglosse.","Neurologie","easy","LAS","nerfs-crâniens,langue,motricité"
"Dans l'ECG normal, quelle est la durée normale de l'intervalle PR ?","0,12 à 0,20 seconde","0,06 à 0,12 seconde","0,20 à 0,30 seconde","0,30 à 0,40 seconde","A","L'intervalle PR représente le temps de conduction auriculo-ventriculaire. Il est normalement compris entre 0,12 et 0,20 seconde chez l'adulte.","Cardiologie","medium","both","ECG,conduction-cardiaque,intervalle-PR"
"Quel signe clinique évoque une insuffisance aortique ?","Pouls bondissant et souffle diastolique","Pouls lent et régulier","Pouls irrégulier","Pouls filant","A","L'insuffisance aortique se caractérise par un pouls bondissant (signe de Corrigan), un souffle diastolique précoce et des signes de volume de surcharge.","Cardiologie","medium","both","insuffisance-aortique,valvulopathie,pouls,souffle-cardiaque"
"Quelle hormone est principalement sécrétée par les cellules juxtaglomérulaires ?","La rénine","L'aldostérone","L'hormone antidiurétique","L'angiotensine II","A","Les cellules juxtaglomérulaires du rein sécrètent la rénine en réponse à une diminution de la pression artérielle ou de la volémie.","Néphrologie","medium","LAS","système-rénine-angiotensine,hormones,réglage-volémie"
"Quel est le mécanisme principal de l'absorption intestinale du glucose ?","Transport actif secondaire sodium-glucose (SGLT)","Diffusion passive","Transport actif primaire","Osmose","A","Le glucose est absorbé par transport actif secondaire utilisant le gradient sodique créé par la pompe Na+/K+ ATPase.","Gastro-entérologie","hard","LAS","absorption-intestinale,glucose,transport-actif"
"Quelle structure cérébrale est principalement impliquée dans la mémoire à court terme ?","L'hippocampe","Le cortex préfrontal","L'amygdale","Le cervelet","B","Le cortex préfrontal dorsolatéral est principalement impliqué dans la mémoire de travail et la mémoire à court terme.","Neurologie","medium","LAS","mémoire,cortex-préfrontal,mémoire-court-terme"
"Quel est le marqueur biologique le plus spécifique de la nécrose myocardique ?","Les troponines","Les CPK","Les LDH","Les transaminases","A","Les troponines cardiaques (TnI et TnT) sont spécifiques du muscle cardiaque et restent élevées plusieurs jours après l'infarctus.","Cardiologie","medium","both","marqueurs-cardiaques,nécrose-myocardique,infarctus"
"Quelle vitamine est nécessaire à la carboxylation des facteurs de coagulation II, VII, IX, X ?","La vitamine K","La vitamine D","La vitamine B12","La vitamine C","A","La vitamine K est un cofacteur essentiel pour la gamma-carboxylation des facteurs vitamine K-dépendants de la coagulation.","Hématologie","medium","LAS","coagulation,vitamine-K,facteurs-coagulation"
"Quel est le principal mécanisme de défense immunitaire innée contre les bactéries extracellulaires ?","La phagocytose","La cytotoxicité cellulaire","La production d'anticorps","L'hypersensibilité","A","Les phagocytes (macrophages, neutrophiles) assurent la phagocytose des bactéries extracellulaires dans l'immunité innée.","Immunologie","medium","LAS","immunité-innée,phagocytose,bactéries"
